from,to ,weight,year
MaMi,TyHi,,
MaMi,DaEt,,
MaMi,JeRi,,
MaMi,GU,,
MaMi,BG,,
MaMi,"ChHa
",,
MaMi,ElSa,,
MaMi,WiHo,,
MaMi,DaPh,,
MaMi,JaSz,,
MaMi,AnMa,,
MaMi,StHe,,
MaMi,InSa,,
MaMi,OR,,
MaMi,KeSi,,
MaMi,JosHa,,
Maal,NaEl,,
Maal,RE,,
Maal,WaLo,,
Maal,KySo,,
Maal,HaDr,,
Maal,ToMe,,
Maal,CaLo,,
Maal,BrSt,,
Maal,DarBe,,
Maal,LoTu,,
Maal,DaBe,,
Maal,RoMo,,
Maal,SaRy,,
Maal,ErUm,,
Maal,ErEy,,
Maal,GeRy,,
Maal,MaWa,,
Maal,NiNe,,
Maal,FrOb,,
Maal,BaOb,,
Maal,KeHa,,
Maal,EBT,,
Maal,SLT,,
Maal,NYT,,
Maal,DaFa,,
Maal,ChCh,,
Maal,PeNo,,
Maal,HiAl,,
Maal,ArCu,,
Maal,JiMo,,
Maal,JaWa,,
Maal,PaC,,
Maal,ST,,
Maal,ErLi,,
Maal,ZaMi,,
Maal,RoKu,,
Maal,ReKi,,
Maal,FrSu,,
Maal,CaLe,,
Maal,DiMa,,
Maal,LiFa,,
Maal,MaMc,,
Maal,KaKi,,
Maal,AdZy,,
Maal,StLPD,,
Maal,JoKa,,
Maal,MeTw,,
Maal,RoFa,,
Maal,PrDe,,
Maal,WaPo,,
Maal,ArRe,,
Maal,UsTo,,
Maal,CiEn,,
Maal,ClBa,,
Maal,AnMa,,
Maal,MaMo,,
Maal,RaKaGh,,
Maal,JoAr,,
Maal,JeSa,,
Maal,AnDo,,
Maal,JaHa,,
Maal,MiSl,,
Maal,RyKe,,
Maal,AsPr,,
Maal,LAT,,
Maal,LLA,,
Maal,AnCo,,
Maal,MiBr,,
